repo,archetype,language,stars,score,subscore_artifacts,subscore_distribution,subscore_responsiveness,subscore_diversity,subscore_security,extracted_at
torvalds/linux,federation,c,240237,56.89451948317411,0.2222222222222222,1.0,,0.9973373353989156,0.0,2026-07-24
tensorflow/tensorflow,federation,c++,196481,79.50509942654182,0.6666666666666666,0.9154941091687009,0.7270466476521165,0.6940098051743533,1.0,2026-07-23
rails/rails,federation,ruby,58636,82.85847723998032,0.7777777777777778,1.0,0.6833333333333333,0.8498244085912808,0.8,2026-07-23
freeCodeCamp/freeCodeCamp,federation,typescript,452563,87.8836607687543,0.8888888888888888,1.0,0.9,0.7607625697688052,0.75,2026-07-23
react/react-native,federation,c++,126252,71.73091887241068,0.6666666666666666,1.0,0.5666666666666667,0.6487279248273785,0.6,2026-07-23
affaan-m/ECC,federation,javascript,232566,73.75091330445024,0.8888888888888888,0.37103565232949814,0.8804868487445265,0.6428708532733353,1.0,2026-07-23
golang/go,federation,go,135332,64.6242366203767,0.6666666666666666,1.0,0.3333333333333333,0.836060219136225,0.25,2026-07-23
ggml-org/llama.cpp,federation,c++,121402,84.26329079973458,0.6666666666666666,1.0,0.9166666666666666,0.8175527199823054,0.8,2026-07-23
laravel/framework,federation,php,34812,82.13759139039442,0.6666666666666666,1.0,0.6666666666666666,0.8091727593596288,1.0,2026-07-23
rust-lang/rust,federation,rust,114779,91.02432006202945,0.7777777777777778,1.0,0.8908351791985951,0.9175448022408733,1.0,2026-07-23
godotengine/godot,federation,c++,114541,89.86388007140998,0.8888888888888888,1.0,0.8680299628831417,0.8854039061016618,0.8,2026-07-23
filamentphp/filament,federation,php,31551,79.56903772724111,0.7777777777777778,0.6455827493185337,0.8945058283730158,0.7396605321582003,1.0,2026-07-23
FFmpeg/FFmpeg,federation,c,62334,61.7427079564489,0.3333333333333333,1.0,,0.8207222021217191,0.25,2026-07-23
elastic/elasticsearch,federation,java,77582,87.20787136181953,0.6666666666666666,0.9937676865752151,0.8916666666666666,0.8575786131626102,1.0,2026-07-23
NousResearch/hermes-agent,federation,python,219494,74.12372017078329,0.5555555555555556,0.865334301301059,0.4940744357638889,0.9146656689393421,1.0,2026-07-23
openai/codex,federation,rust,100977,76.33006445536057,0.6666666666666666,1.0,0.75,0.5108931859129267,0.8,2026-07-23
git/git,federation,c,62169,60.40327008744191,0.5555555555555556,0.9850691915513474,0.0,0.9591767606512889,0.5,2026-07-23
